194,BELPRE HIGH SCHOOL BELPRE,"612 3RD ST    BELPRE, OH 45714"
196,BENEDICTINE HIGH SCHOOL CLEVELAND,"2900 MARTIN L KING DR    CLEVELAND, OH 44104-4802"
198,BENJAMIN LOGAN HIGH SCHOOL BELLEFONTAINE,"6609 STATE ROUTE 47 E    BELLEFONTAINE, OH 43311-9527"
200,BEREA HIGH SCHOOL BEREA,"165 E BAGLEY RD    BEREA, OH 44017-2050"
202,BERKSHIRE HIGH SCHOOL BURTON,"14510 NORTH CHESHIRE STREET    BURTON, OH 44021-0365"
204,BERNE UNION HIGH SCHOOL SUGAR GROVE,"506 N MAIN ST    SUGAR GROVE, OH 43155-0187"
206,BETHEL HIGH SCHOOL TIPP CITY,"7490 S STATE ROUTE 201    TIPP CITY, OH 45371"
208,BETHEL-TATE HIGH SCHOOL BETHEL,"3420 ST. RT. 125    BETHEL, OH 45106"
210,BETTSVILLE HIGH SCHOOL BETTSVILLE,
212,BEXLEY HIGH SCHOOL COLUMBUS,"326 S CASSINGHAM RD    COLUMBUS, OH 43209-1806"
214,BIG WALNUT HIGH SCHOOL SUNBURY,"555 S OLD 3C HWY    SUNBURY, OH 43074-9507"
582,BISHOP FENWICK HIGH SCHOOL FRANKLIN,"4855 STATE ROUTE 122    FRANKLIN, OH 45005-9648"
218,BISHOP HARTLEY HIGH SCHOOL COLUMBUS,"1285 ZETTLER ROAD    COLUMBUS, OH 43227-1914"
220,BISHOP READY HIGH SCHOOL COLUMBUS,"707 SALISBURY RD    COLUMBUS, OH 43204-2449"
222,BISHOP ROSECRANS HIGH SCHOOL ZANESVILLE,"1040 E MAIN ST    ZANESVILLE, OH 43701-4410"
224,BISHOP WATTERSON HIGH SCHOOL COLUMBUS,"99 E COOKE RD    COLUMBUS, OH 43214-3111"
226,BLACK RIVER HIGH SCHOOL SULLIVAN,"233 COUNTY ROAD 40    SULLIVAN, OH 44880"
228,BLANCHESTER HIGH SCHOOL BLANCHESTER,"953 CHERRY ST    BLANCHESTER, OH 45107"
232,BLOOM-CARROLL HIGH SCHOOL CARROLL,"5240 PLUM ROAD    CARROLL, OH 43112-9776"
234,BLOOMFIELD HIGH SCHOOL N BLOOMFIELD,"2077 PARK WEST RD NW    N BLOOMFIELD, OH 44450-9702"
236,BLUFFTON HIGH SCHOOL BLUFFTON,"106 W COLLEGE AVE    BLUFFTON, OH 45817-1242"
238,BOARDMAN HIGH SCHOOL YOUNGSTOWN,"7777 GLENWOOD AVE    YOUNGSTOWN, OH 44512-5824"
240,BOTKINS HIGH SCHOOL BOTKINS,"404 E. STATE ST.    BOTKINS, OH 45306-0550"
242,BOWLING GREEN HIGH SCHOOL BOWLING GREEN,"530 W POE ROAD    BOWLING GREEN, OH 43402-1213"
244,BOWSHER HIGH SCHOOL TOLEDO,"2200 ARLINGTON AVE.    TOLEDO, OH 43614-4441"
246,BRADFORD HIGH SCHOOL BRADFORD,"750 RAILROAD AVE.    BRADFORD, OH 45308-1160"
248,BRECKSVILLE-BROADVIEW HTS HIGH BROADVIEW HTS,"6380 MILL ROAD    BROADVIEW HTS, OH 44147-2260"
